 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 ,
 Male Residents Outside The Labour Force , 235.3 , 221.6 , 226.4 , 237.7 , 235.4 , 261 , 248.4 , 260.5 , 272.7 , 272.8 , 288 , 280.1 , 293.6 , 316.8 , 325.8 , 347.5 , 337.9 , 334.5 , 344 , 350.7 , 353.7 , 373.8 , 372.4 , 377.8 , 381.3 , 369.2 , 383 , 391.4 , 400.4 ,
     15 - 19 Years , 85.3 , 86 , 85.2 , 88.6 , 87 , 88.6 , 88.3 , 92.8 , 94.6 , 92.4 , 94.4 , 94.3 , 95.1 , 102.5 , 106.2 , 110.7 , 119.5 , 120.1 , 119.3 , 120.2 , 113.8 , 124 , 121.7 , 120.5 , 111.1 , 107.7 , 104.6 , 104.7 , 106 ,
     20 - 24 Years , 23.1 , 21.5 , 23.1 , 24.9 , 27.2 , 29.8 , 28.6 , 32.9 , 32.7 , 30.4 , 35.6 , 32.1 , 34.2 , 33 , 34.3 , 42.1 , 32.2 , 35.3 , 38.9 , 42.2 , 42.3 , 48.3 , 49.8 , 49.1 , 48.5 , 46.8 , 50.6 , 48.3 , 51 ,
     25 - 29 Years , 8.2 , 4.3 , 4.1 , 5.3 , 5.1 , 6.7 , 4.1 , 6.3 , 6.6 , 7.2 , 7 , 6.1 , 6.6 , 6.7 , 8.8 , 10.2 , 6.7 , 7.1 , 7.5 , 8 , 8.2 , 9.6 , 11.7 , 12.6 , 13 , 10.8 , 13.2 , 11.8 , 12.1 ,
     30 - 34 Years , 7.3 , 1.8 , 2 , 2.1 , 2.4 , 4.2 , 2.4 , 2.1 , 2.3 , 2.8 , 3.4 , 2.3 , 2.3 , 2 , 2.7 , 3.7 , 2.6 , 2.3 , 2.4 , 3 , 3 , 3.5 , 3.6 , 3.6 , 3.3 , 3.3 , 3.8 , 3.2 , 2.8 ,
     35 - 39 Years , 4.8 , 1.2 , 2 , 2.2 , 1.8 , 3.5 , 2.7 , 2.5 , 1.9 , 2.9 , 3.6 , 2.3 , 2.8 , 2.8 , 3.2 , 4.1 , 2.6 , 2.7 , 3.4 , 3.2 , 3 , 3.3 , 2.6 , 3.5 , 3.8 , 3.5 , 3 , 3.4 , 3.9 ,
     40 - 44 Years , 3.5 , 1.7 , 2 , 2.3 , 1.6 , 3.3 , 2.5 , 2.9 , 2.7 , 3.6 , 4.3 , 2.9 , 3.6 , 4.5 , 4.3 , 5.8 , 3.7 , 4.3 , 3.9 , 3.4 , 4.7 , 4.2 , 4.3 , 4.3 , 4.6 , 4.3 , 4.1 , 4.6 , 4.2 ,
     45 - 49 Years , 3.5 , 2.3 , 3 , 2.9 , 2.8 , 3.9 , 3.8 , 3.8 , 3.6 , 3.9 , 5 , 4.8 , 4.5 , 5.9 , 5.4 , 7.7 , 5.6 , 5.4 , 5.5 , 5.7 , 6.2 , 6.4 , 7 , 6.1 , 5.2 , 4.6 , 5.4 , 5.2 , 6.9 ,
     50 - 54 Years , 7.1 , 5.2 , 7.7 , 6.9 , 6.2 , 6.7 , 5.8 , 5.8 , 7.1 , 7.3 , 9.3 , 10.4 , 9.5 , 9.9 , 8.7 , 11.9 , 9.5 , 8.4 , 10.1 , 9.6 , 10.9 , 10 , 9.5 , 9.5 , 9.6 , 9.3 , 11.3 , 8.7 , 11.3 ,
     55 - 59 Years , 15.7 , 15.8 , 15.9 , 15.6 , 14.7 , 16.8 , 14.4 , 15.5 , 15.3 , 15.3 , 16 , 15.2 , 15.2 , 18.2 , 20.6 , 23.3 , 20.5 , 17.9 , 17.5 , 15.5 , 19.6 , 19 , 15.7 , 17.2 , 18.3 , 17.5 , 16.7 , 17.2 , 18 ,
     60 - 64 Years , 20.9 , 24.2 , 23.4 , 23.4 , 24.3 , 25.5 , 24.1 , 24.5 , 25.1 , 26.1 , 26.5 , 26.9 , 28.3 , 31.8 , 29.9 , 28 , 23.9 , 23.7 , 28.1 , 26.8 , 30.6 , 30.2 , 28 , 28.9 , 28.2 , 28.1 , 30.1 , 28.5 , 32.4 ,
     65 Years & Over , 55.9 , 57.4 , 58.1 , 63.5 , 62.3 , 72 , 71.7 , 71.3 , 80.7 , 80.8 , 82.8 , 82.9 , 91.6 , 99.6 , 101.7 , 100.1 , 111.1 , 107.3 , 107.7 , 113.1 , 111.3 , 115.3 , 118.6 , 122.6 , 135.6 , 133.2 , 140.3 , 155.8 , 151.8 ,
