bezirkId,bezirk,a_wahlkreis,b_wahlkreis,ost_west,wahlberechtigte,waehler,gueltig,ungueltig,CDU,DIE LINKE,SPD,GRUNE,FDP,PIRATEN,NPD,BuSo,MLPD,AfD,BIG,pro Deutschland,FREIE WAHLER,Die PARTEI,Boes,B,Bundnis 21_RRP,DKP,Die Violetten,Ditsche,Di Leo,Sylla,Fricke,Otto,Beckmann,Snelinski
1,Mitte,4,75,W,1353,673,660,13,96,126,169,165,6,39,6,1,3,22,3,0,1,17,4,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,4,75,W,797,420,411,9,112,62,114,59,5,17,3,1,1,19,3,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,1030,546,536,10,107,77,164,119,3,32,8,1,3,9,2,0,2,2,6,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,1291,667,653,14,122,106,176,146,2,44,10,4,2,19,3,0,1,8,5,0,0,4,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,1034,547,536,11,127,72,163,94,7,27,4,0,2,26,3,0,0,8,2,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,1370,729,718,11,99,109,226,172,7,59,4,1,0,14,7,0,2,9,4,0,0,0,0,0,0,5,0,0,0,0
1,Mitte,4,75,W,806,430,424,6,66,67,148,89,4,20,2,0,1,9,1,0,0,9,2,0,0,2,0,0,0,4,0,0,0,0
1,Mitte,4,75,W,851,468,460,8,85,73,141,91,3,38,7,1,0,9,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,1239,569,563,6,101,78,196,114,5,21,6,2,0,22,2,0,0,10,5,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,916,443,436,7,92,62,152,67,5,15,5,2,0,13,6,0,1,12,3,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,812,396,393,3,73,51,121,73,9,24,6,1,0,13,5,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,847,426,417,9,61,59,136,107,5,25,2,0,0,10,0,0,2,4,5,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,1004,511,501,10,66,82,179,114,2,20,3,0,1,11,0,0,1,13,7,0,0,2,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,1233,620,613,7,79,95,190,171,4,33,5,0,1,13,4,0,2,12,4,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,4,75,W,1253,671,660,11,99,84,227,150,12,33,8,1,0,21,1,0,3,11,5,0,0,3,0,0,0,2,0,0,0,0
1,Mitte,4,75,W,1149,555,547,8,105,63,182,135,4,23,5,2,0,12,4,0,1,7,3,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,1100,532,521,11,70,85,159,113,4,42,7,1,1,18,1,0,2,13,3,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,4,75,W,1041,512,500,12,75,79,148,115,4,26,8,0,0,21,7,0,1,8,6,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,5,75,W,1034,519,511,8,147,80,162,36,4,25,11,1,1,33,0,0,1,6,0,0,0,2,0,0,0,2,0,0,0,0
1,Mitte,5,75,W,833,470,450,20,147,48,163,28,10,15,10,1,0,21,1,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,577,263,256,7,73,38,93,16,3,13,5,2,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,691,322,315,7,93,42,109,27,5,11,7,0,1,12,0,0,1,2,2,0,0,2,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,955,455,443,12,97,50,180,48,4,14,7,0,1,30,5,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,1129,628,612,16,270,50,191,34,11,11,5,1,0,27,7,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,1038,574,550,24,221,49,181,38,7,9,13,1,0,23,1,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,565,292,281,11,131,21,86,14,4,6,5,0,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,1148,622,608,14,193,52,219,61,1,20,11,4,0,36,2,0,2,5,1,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,1039,493,484,9,154,54,171,20,10,12,31,0,0,20,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,1027,509,496,13,175,58,149,24,7,22,15,2,0,33,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,1088,546,532,14,158,75,187,29,5,22,11,3,1,29,4,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,1286,659,651,8,127,104,212,111,4,32,13,1,0,21,2,0,2,13,5,0,0,1,0,0,0,3,0,0,0,0
1,Mitte,5,75,W,1401,602,600,2,177,100,178,74,5,21,8,0,1,20,2,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,1027,469,459,10,111,68,144,59,9,21,15,0,0,21,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,1207,618,597,21,139,79,212,85,6,20,8,1,1,23,3,0,4,9,3,0,0,3,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,995,465,456,9,95,84,162,58,6,13,6,0,2,17,4,0,0,5,2,0,0,0,0,0,0,2,0,0,0,0
1,Mitte,5,75,W,874,441,435,6,126,61,121,56,5,19,6,1,1,23,2,0,2,5,4,0,0,1,0,0,0,2,0,0,0,0
1,Mitte,5,75,W,1483,736,725,11,105,124,193,200,9,42,0,2,0,22,3,0,4,14,6,0,0,1,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,829,412,405,7,68,71,110,95,6,21,7,0,0,14,0,0,2,7,3,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,696,398,392,6,172,30,128,18,5,7,4,0,0,19,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,946,457,444,13,134,52,125,80,4,19,8,1,0,13,1,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,1074,448,438,10,99,75,147,48,4,22,11,0,0,14,4,0,2,5,4,0,0,0,0,0,0,3,0,0,0,0
1,Mitte,5,75,W,1322,524,505,19,193,71,181,13,11,11,5,0,1,10,1,0,2,1,3,0,0,2,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,1399,716,698,18,99,127,225,151,3,40,3,1,1,15,7,0,1,13,10,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,923,417,409,8,56,78,139,69,2,22,5,2,0,15,5,0,2,6,5,0,0,3,0,0,0,0,0,0,0,0
1,Mitte,5,75,W,1212,533,523,10,79,97,150,111,2,37,11,1,0,10,9,0,0,12,2,0,0,1,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,916,481,475,6,119,71,157,70,3,18,9,1,0,16,0,0,1,6,1,0,0,0,0,0,0,3,0,0,0,0
1,Mitte,5,75,W,1346,743,724,19,111,134,235,128,7,38,6,1,1,28,3,0,5,15,8,0,0,3,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,1304,654,644,10,92,129,156,172,7,37,6,0,3,17,2,0,1,16,5,0,0,0,0,0,0,1,0,0,0,0
1,Mitte,5,75,W,802,364,353,11,57,68,90,75,5,23,4,1,0,14,4,0,2,7,1,0,0,1,0,0,0,1,0,0,0,0
